,name,value,value,value,value,value,value,value,value
year,,2009,2010,2011,2012,2013,2014,2015,2016
eID,,,,,,,,,
re_1515,Nordrhein-Westfalen,8815512.0,8896383.0,9016882.0,9143732.0,9250163.0,9336100.0,9454895.0,9610176.0
re_1516,Baden-Wrttemberg,5660549.0,5713966.0,5782349.0,5889690.0,5978864.0,6055901.0,6152072.0,6259564.0
re_1517,Hessen,3241615.0,3276203.0,3321254.0,3368102.0,3408156.0,3432598.0,3472789.0,3525614.0
re_1518,Bremen,259095.0,260880.0,264666.0,269482.0,272768.0,275398.0,278962.0,283081.0
re_1519,Thringen,1145404.0,1150859.0,1156257.0,1159655.0,1160636.0,1159497.0,1161184.0,1164781.0
re_1520,Hamburg,710866.0,714705.0,724897.0,729955.0,736936.0,740000.0,747542.0,757909.0
re_2331,Rheinland-Pfalz,2194167.0,2222683.0,2255061.0,2288449.0,2316709.0,2338889.0,2368706.0,2403779.0
re_2332,Saarland,575011.0,581755.0,586279.0,593750.0,598380.0,601912.0,606642.0,613413.0
re_2333,Bayern,6768260.0,6857583.0,6949250.0,7101882.0,7202244.0,7294499.0,7404869.0,7521221.0
re_2334,Berlin,1086669.0,1103691.0,1117663.0,1132274.0,1144863.0,1147726.0,1157275.0,1168519.0
re_2335,Sachsen-Anhalt,1179988.0,1184344.0,1188835.0,1190564.0,1188791.0,1186139.0,1187248.0,1190692.0
re_2336,Sachsen,2047756.0,2059211.0,2069825.0,2078381.0,2080193.0,2081675.0,2088061.0,2099651.0
re_3312,Mecklenburg-Vorpommern,801339.0,809181.0,815158.0,818638.0,819453.0,819692.0,823913.0,830507.0
re_3562,Brandenburg,1294596.0,1307642.0,1319415.0,1328691.0,1334369.0,1339835.0,1349096.0,1364708.0
re_6321,Niedersachsen,4056464.0,4107934.0,4171645.0,4251168.0,4314744.0,4375240.0,4440819.0,4516245.0
re_942,Schleswig-Holstein,1431507.0,1451535.0,1474315.0,1497821.0,1515595.0,1531893.0,1552011.0,1579223.0
