,name,value,value,value,value,value,value
year,,2012,2013,2014,2015,2016,2017
eID,,,,,,,
re_1515,Nordrhein-Westfalen,830.0,1282.0,186.0,2976.0,4163.0,5283.0
re_1516,Baden-Wrttemberg,763.0,1377.0,2391.0,4042.0,4769.0,6667.0
re_1517,Hessen,412.0,598.0,902.0,1426.0,1966.0,2592.0
re_1518,Bremen,80.0,97.0,181.0,258.0,264.0,263.0
re_1519,Thringen,52.0,82.0,111.0,199.0,285.0,415.0
re_1520,Hamburg,194.0,231.0,430.0,673.0,858.0,956.0
re_2331,Rheinland-Pfalz,165.0,268.0,374.0,622.0,966.0,1423.0
re_2332,Saarland,98.0,134.0,108.0,164.0,220.0,303.0
re_2333,Bayern,928.0,1407.0,24.0,4053.0,576.0,8175.0
re_2334,Berlin,165.0,328.0,657.0,849.0,1445.0,1668.0
re_2335,Sachsen-Anhalt,50.0,78.0,86.0,150.0,232.0,310.0
re_2336,Sachsen,210.0,213.0,369.0,591.0,735.0,984.0
re_3312,Mecklenburg-Vorpommern,22.0,61.0,76.0,126.0,176.0,252.0
re_3562,Brandenburg,47.0,107.0,177.0,303.0,426.0,568.0
re_6321,Niedersachsen,436.0,705.0,1699.0,2006.0,2484.0,3076.0
re_942,Schleswig-Holstein,88.0,145.0,325.0,500.0,740.0,1073.0
